,date,open,high,low,close,volume,SMA_20,EMA_50,RSI,stoch_k,stoch_d,BB_upper,BB_middle,BB_lower,ATR,ROC,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,rolling_mean,rolling_std,target
47,2025-01-20 03:30:00,3248.99,3264.64,3243.9,3262.59,3122.1731,3246.4835,3220.78220617539,52.24525734411274,69.56083803384425,57.490542694112236,3281.74522236591,3246.4835,3211.2217776340894,19.472142857142867,0.7317321675018378,3249.0,3256.85,3268.41,3252.88,3241.12,3242.31,3245.07,3246.49,3252.27875,9.815489853864118,0.002988423307862753
48,2025-01-20 03:35:00,3262.59,3280.75,3261.44,3263.65,3343.6308,3249.6155,3222.4632961292964,48.017774679794506,67.54602391345627,59.76352825049696,3278.404237180034,3249.6155,3220.8267628199656,19.18214285714284,0.4706990604489639,3262.59,3249.0,3256.85,3268.41,3252.88,3241.12,3242.31,3245.07,3254.60125,10.061199072953011,-0.0017311905382011439
49,2025-01-20 03:40:00,3263.62,3276.29,3262.29,3272.91,1839.5189,3252.2385,3224.441598241873,50.41967921549063,85.12051622698779,74.07579272476276,3279.349048947053,3252.2385,3225.127951052947,19.307857142857106,0.8138019830647892,3263.65,3262.59,3249.0,3256.85,3268.41,3252.88,3241.12,3242.31,3258.42625,10.526731873114185,-0.005563856018038993
50,2025-01-20 03:45:00,3272.91,3275.82,3261.01,3265.22,1891.1086,3254.2,3226.040751251996,52.70610720180697,70.5257164547349,74.39741886505965,3278.8821896154,3254.2,3229.5178103845997,18.789999999999964,0.6209419211295791,3272.91,3263.65,3262.59,3249.0,3256.85,3268.41,3252.88,3241.12,3261.43875,8.015450147763937,-0.0020764297658349973
51,2025-01-20 03:50:00,3265.21,3273.4,3261.98,3271.21,2034.9874,3256.3745,3227.812094340153,66.00000000000001,81.89409755171768,79.18011007781345,3278.7931505767906,3256.3745,3233.955849423209,17.83214285714283,0.8913398163654953,3265.22,3272.91,3263.65,3262.59,3249.0,3256.85,3268.41,3252.88,3263.73,7.837260818852058,-0.004059659881206046
52,2025-01-20 03:55:00,3271.15,3276.6,3265.5,3272.34,1488.173,3257.6685,3229.558286718971,62.939779840276245,84.03871702410353,78.8195103435187,3280.6579330645977,3257.6685,3234.6790669354027,17.374999999999968,0.9632472725477691,3271.21,3265.22,3272.91,3263.65,3262.59,3249.0,3256.85,3268.41,3264.22125,8.28300917971751,-0.003997139661526594
53,2025-01-20 04:00:00,3272.3,3272.3,3258.0,3258.0,2007.2635,3257.7195,3230.6736480241098,55.47417483116151,56.82292655152785,74.25191370911635,3280.7070274877497,3257.7195,3234.7319725122506,17.05714285714284,0.15739898182533296,3272.34,3271.21,3265.22,3272.91,3263.65,3262.59,3249.0,3256.85,3264.3650000000002,8.145647391609009,0.0002762430939227123
54,2025-01-20 04:05:00,3258.01,3260.93,3250.66,3254.7,2397.6076,3257.0445,3231.6158579055173,54.499579478553215,50.559878534826055,63.80717403681914,3279.5234468520875,3257.0445,3234.5655531479124,16.51571428571427,-0.41947001753146135,3258.0,3272.34,3271.21,3265.22,3272.91,3263.65,3262.59,3249.0,3265.0775,6.737196852432486,0.0021691707377025082
55,2025-01-20 04:10:00,3254.69,3270.45,3253.2,3258.44,1686.0862,3256.3715,3232.6677850464775,57.46828410037967,48.95904827270664,52.113951119686845,3277.7571442502917,3256.3715,3234.9858557497087,16.3192857142857,0.0488201790073275,3254.7,3258.0,3272.34,3271.21,3265.22,3272.91,3263.65,3262.59,3264.55875,7.1057792123131565,0.0023354734167271296
56,2025-01-20 04:15:00,3258.4,3268.17,3252.91,3257.93,1129.9869,3256.3185000000003,3233.658460142694,57.83244804771215,45.58893657606072,48.36928779453114,3277.6820629543695,3256.3185000000003,3234.954937045631,16.494999999999987,0.27485380116958563,3258.44,3254.7,3258.0,3272.34,3271.21,3265.22,3272.91,3263.65,3263.84375,7.487793757643226,0.005945492997087243
