,date,open,high,low,close,volume
310,2023-03-05,22346.57,22662.09,22189.22,22430.24,154841.75786
311,2023-03-06,22430.24,22602.19,22258.0,22410.0,203751.82957
312,2023-03-07,22409.41,22557.91,21927.0,22197.96,292519.80912
313,2023-03-08,22198.56,22287.0,21580.0,21705.44,301460.57272
314,2023-03-09,21704.37,21834.99,20042.72,20362.22,443658.28584
315,2023-03-10,20362.21,20367.78,19549.09,20150.69,618456.4671
316,2023-03-11,20150.69,20686.51,19765.03,20455.73,427831.82133
317,2023-03-12,20455.73,22150.0,20270.6,21997.11,430944.94288
318,2023-03-13,21998.05,24500.0,21813.88,24113.48,687889.31259
319,2023-03-14,24112.27,26386.87,23976.42,24670.41,699360.93423
320,2023-03-15,24670.41,25196.97,23896.95,24285.66,581450.72984
321,2023-03-16,24285.66,25167.4,24123.0,24998.78,439421.32998
322,2023-03-17,24998.78,27756.84,24890.0,27395.13,624460.68091
323,2023-03-18,27395.13,27724.85,26578.0,26907.49,371238.97174
324,2023-03-19,26907.49,28390.1,26827.22,27972.87,372066.99054
325,2023-03-20,27972.87,28472.0,27124.47,27717.01,477378.23373
326,2023-03-21,27717.01,28438.55,27303.1,28105.47,420929.7422
327,2023-03-22,28107.81,28868.05,26601.8,27250.97,224113.41296
328,2023-03-23,27250.97,28750.0,27105.0,28295.41,128649.60818
329,2023-03-24,28295.42,28374.3,27000.0,27454.47,86242.06544
330,2023-03-25,27454.46,27787.33,27156.09,27462.95,50844.08102
331,2023-03-26,27462.96,28194.4,27417.76,27968.05,49671.70353
332,2023-03-27,27968.05,28023.86,26508.14,27124.91,88039.46898
333,2023-03-28,27124.9,27520.0,26631.78,27261.07,78602.44341
334,2023-03-29,27261.06,28650.0,27240.1,28348.6,89486.16008
335,2023-03-30,28348.6,29184.68,27686.0,28028.53,98865.43256
336,2023-03-31,28028.53,28656.69,27511.71,28465.36,78198.12139
337,2023-04-01,28465.36,28819.71,28220.27,28452.73,30238.44753
338,2023-04-02,28452.74,28530.0,27856.43,28171.87,37365.65692
339,2023-04-03,28171.87,28500.99,27200.24,27800.0,79180.01405
340,2023-04-04,27800.0,28444.44,27662.79,28165.47,49722.55691
341,2023-04-05,28165.47,28775.0,27805.1,28170.01,60737.64732
342,2023-04-06,28170.01,28182.05,27711.0,28033.82,40118.94963
343,2023-04-07,28033.83,28100.0,27766.94,27906.33,24762.09387
344,2023-04-08,27906.34,28154.99,27859.02,27938.38,19479.96735
345,2023-04-09,27938.38,28530.0,27800.0,28323.76,32531.16101
346,2023-04-10,28323.76,29770.0,28170.0,29637.34,67754.0622
347,2023-04-11,29637.35,30550.0,29590.0,30200.42,67990.07621
348,2023-04-12,30200.43,30486.0,29637.4,29888.07,62049.48451
349,2023-04-13,29888.07,30595.0,29854.59,30373.84,51934.11731
350,2023-04-14,30373.84,31000.0,29966.0,30466.93,75984.19452
351,2023-04-15,30466.93,30595.6,30202.0,30295.09,25429.81247
352,2023-04-16,30295.1,30549.99,30120.0,30304.65,26431.99322
353,2023-04-17,30304.66,30316.06,29240.65,29430.27,56441.81127
354,2023-04-18,29430.27,30485.0,29096.78,30380.01,62004.89434
355,2023-04-19,30380.01,30413.53,28520.0,28797.1,86575.48656
356,2023-04-20,28797.1,29088.3,28010.0,28243.65,76879.09372
357,2023-04-21,28243.65,28374.02,27125.0,27262.84,77684.7679
358,2023-04-22,27262.84,27882.72,27140.35,27816.85,36023.69686
359,2023-04-23,27816.85,27816.85,27311.25,27590.6,34812.09581
360,2023-04-24,27590.59,28000.0,26942.82,27510.93,53111.56874
361,2023-04-25,27510.93,28399.99,27192.0,28300.79,52325.14637
362,2023-04-26,28300.8,30036.0,27235.0,28415.29,129228.40403
363,2023-04-27,28415.29,29890.0,28378.86,29472.77,95430.82431
364,2023-04-28,29472.77,29599.54,28891.0,29311.7,54298.16578
365,2023-04-29,29311.69,29448.88,29031.0,29230.45,20466.83058
366,2023-04-30,29230.45,29969.39,29079.59,29233.21,39752.5372
367,2023-05-01,29233.2,29337.34,27666.95,28068.26,64433.65958
368,2023-05-02,28068.26,28879.88,27872.0,28669.86,50824.5224
369,2023-05-03,28669.85,29266.66,28113.69,29026.16,64615.79213
370,2023-05-04,29026.16,29379.83,28663.64,28838.16,42575.47501
371,2023-05-05,28838.16,29677.0,28800.0,29505.61,58415.83048
372,2023-05-06,29505.6,29820.0,28300.0,28848.2,49249.28459
